N1,N2,D,C_real1,C_real2
2.0,0.0,1,562.0,532.0
2.0,0.0,1,574.0,548.0
2.0,0.0,1,576.0,522.0
2.0,0.0,1,573.0,519.0
2.0,0.0,1,572.0,520.0
2.0,0.0,1,569.0,519.0
2.0,0.0,1,568.0,521.0
2.0,0.0,1,568.0,521.0
2.0,0.0,1,568.0,521.0
2.0,0.0,1,569.0,522.0
2.0,0.0,1,570.0,525.0
2.0,0.0,1,573.0,527.0
2.0,0.0,1,574.0,527.0
2.0,0.0,1,575.0,528.0
2.0,0.0,1,576.0,529.0
2.0,0.0,1,577.0,530.0
2.0,0.0,1,582.0,532.0
2.0,0.0,1,584.0,533.0
2.0,0.0,1,587.0,535.0
2.0,0.0,1,592.0,536.0
2.0,0.0,1,595.0,543.0
1.0,0.0,1,596.0,544.0
1.0,0.0,1,598.0,545.0
1.0,0.0,1,603.0,546.0
1.0,0.0,1,607.0,545.0
1.0,0.0,1,607.0,547.0
1.0,0.0,1,608.0,546.0
1.0,0.0,1,608.0,545.0
1.0,0.0,1,608.0,546.0
1.0,0.0,1,608.0,546.0
1.0,0.0,1,608.0,546.0
1.0,0.0,1,607.0,546.0
0.0,0.0,1,607.0,546.0
0.0,0.0,1,606.0,544.0
0.0,0.0,1,606.0,543.0
0.0,0.0,1,604.0,543.0
0.0,0.0,1,602.0,542.0
0.0,0.0,1,601.0,542.0
0.0,0.0,1,597.0,542.0
0.0,0.0,1,596.0,542.0
0.0,0.0,1,594.0,540.0
0.0,0.0,1,591.0,539.0
0.0,0.0,1,588.0,540.0
0.0,0.0,1,585.0,540.0
0.0,0.0,1,581.0,540.0
0.0,0.0,1,579.0,540.0
0.0,2.0,1,576.0,539.0
0.0,2.0,1,573.0,539.0
0.0,2.0,1,569.0,539.0
0.0,2.0,1,568.0,540.0
0.0,2.0,1,565.0,541.0
0.0,2.0,1,562.0,543.0
0.0,2.0,1,559.0,543.0
0.0,2.0,1,558.0,544.0
1.0,2.0,1,557.0,544.0
1.0,2.0,1,556.0,542.0
1.0,2.0,1,556.0,542.0
1.0,2.0,1,556.0,543.0
1.0,2.0,1,555.0,543.0
1.0,2.0,1,555.0,545.0
1.0,2.0,1,556.0,547.0
1.0,2.0,1,558.0,552.0
1.0,2.0,1,561.0,558.0
1.0,2.0,1,563.0,560.0
1.0,2.0,1,565.0,563.0
1.0,2.0,1,566.0,566.0
1.0,2.0,1,567.0,567.0
1.0,2.0,1,568.0,572.0
1.0,2.0,1,570.0,575.0
1.0,2.0,1,571.0,580.0
1.0,2.0,1,573.0,583.0
1.0,2.0,1,576.0,583.0
1.0,2.0,1,577.0,586.0
1.0,2.0,1,577.0,587.0
1.0,2.0,1,578.0,590.0
1.0,2.0,1,581.0,592.0
1.0,2.0,1,584.0,594.0
1.0,2.0,1,584.0,595.0
1.0,2.0,1,587.0,595.0
1.0,2.0,1,586.0,598.0
1.0,2.0,1,588.0,599.0
1.0,2.0,1,589.0,601.0
1.0,2.0,1,592.0,604.0
1.0,2.0,1,592.0,605.0
1.0,2.0,1,593.0,606.0
1.0,2.0,1,593.0,610.0
1.0,2.0,1,594.0,611.0
1.0,2.0,1,595.0,611.0
2.0,2.0,1,595.0,612.0
2.0,2.0,1,598.0,613.0
2.0,2.0,1,598.0,614.0
2.0,2.0,1,599.0,616.0
2.0,2.0,1,601.0,617.0
2.0,2.0,1,605.0,617.0
2.0,2.0,1,608.0,618.0
2.0,2.0,1,609.0,619.0
2.0,2.0,1,610.0,620.0
2.0,2.0,1,611.0,620.0
2.0,2.0,1,613.0,621.0
2.0,2.0,1,615.0,623.0
2.0,2.0,1,616.0,625.0
3.0,2.0,1,616.0,627.0
3.0,2.0,1,617.0,629.0
3.0,2.0,1,621.0,630.0
3.0,2.0,1,622.0,630.0
3.0,2.0,1,624.0,630.0
3.0,2.0,1,625.0,631.0
4.0,2.0,1,627.0,631.0
4.0,2.0,1,628.0,631.0
4.0,2.0,1,629.0,632.0
4.0,2.0,1,637.0,630.0
4.0,2.0,1,643.0,630.0
4.0,2.0,1,646.0,630.0
4.0,2.0,1,652.0,631.0
4.0,2.0,1,656.0,633.0
4.0,2.0,1,660.0,637.0
4.0,2.0,1,664.0,640.0
4.0,2.0,1,668.0,642.0
4.0,2.0,1,675.0,646.0
4.0,2.0,1,680.0,649.0
4.0,2.0,1,682.0,649.0
4.0,2.0,1,686.0,652.0
4.0,2.0,1,690.0,652.0
4.0,2.0,1,692.0,652.0
4.0,2.0,1,701.0,652.0
4.0,2.0,1,704.0,655.0
