N1,N2,D,C_real1,C_real2
0,0,1,421,417.18082499557687
0,0,1,421.5,418.21226181494586
0,0,1,422,418.01654981976662
0,0,1,422,417.89900208126642
0,0,1,422,418.70300984947744
0,0,1,421.5,417.85619648159479
0,0,1,421,417.08699530566804
0,0,1,420.5,417.13771586384121
0,0,1,420,416.56499180143055
0,0,1,420,416.58248630288676
0,0,1,420,415.90583866416665
0,0,1,420.5,416.96309945938032
0,0,1,421,417.47701006463211
0,0,1,421,417.70104852311596
0,0,1,421,417.64749478516205
0,0,1,421,417.73254562442816
0,0,1,421,417.18719203830483
0,0,1,421,417.66321499522576
0,0,1,421,417.32115549584069
0,0,1,420,415.92993341367423
0,0,1,419,415.25857130406195
0,0,1,420,416.40117838272749
0,0,1,421,417.66041344767274
0,0,1,421.5,418.26648378565221
0,0,1,422,418.03708143611317
0,0,1,421,417.34829634726674
0,0,1,420,415.8266306148509
0,0,1,419.5,416.1133749147121
0,0,1,419,415.41515455286788
0,0,1,418.5,415.18745637702955
0,0,1,418,414.58616627050952
0,0,1,419,415.63990512952995
0,0,1,420,416.41380023391002
0,0,1,419.5,415.98032395092082
0,0,1,419,415.0441771173289
1,0,1,420.5,417.25746998079944
1,0,1,422,418.19371508151897
1,0,1,423,418.91727744192144
1,0,1,424,420.64183625675969
1,0,1,425.5,421.65421159679698
1,0,1,427,423.24389468207494
1,0,1,428.5,424.77027667953428
1,0,1,430,426.30757357912722
1,0,1,430.5,427.157048159868
1,0,1,431,427.51721742895506
1,0,1,432,428.40176702194321
1,0,1,433,428.75440262014189
1,0,1,433.5,429.25595713220895
1,0,1,434,429.79241435737009
1,0,1,434.5,430.46209677571005
1,0,1,435,431.17159642195224
1,0,1,435,431.55806688527986
1,0,1,435,431.40282939397059
1,0,1,436.5,432.45106381766306
1,0,1,438,434.34658946100535
1,0,1,438,434.25401332900424
1,0,1,438,433.97371759662354
1,0,1,439,435.4969975934826
1,0,1,440,435.95908971840839
1,0,1,440.5,436.10105055384912
1,0,1,441,437.12428540502322
1,0,1,444,439.61925351678354
1,0,1,447,443.03965887612299
1,0,1,452,448.39633295972425
1,0,1,457,453.2120455584913
2,0,1,457,453.13443732615781
2,0,1,457,453.27880669655372
2,0,1,458.5,454.27317387265725
2,0,1,460,455.88565995631785
2,0,1,460.5,456.34808236223415
2,0,1,461,456.49814691522408
2,0,1,464,460.1094664003889
2,0,1,467,463.31925141678278
2,0,1,470,465.56422989427762
2,0,1,473,468.7523773828799
2,0,1,473.5,469.68785416489482
2,0,1,474,469.38057000858629
2,0,1,476,472.04588331670811
2,0,1,478,473.43601759263913
2,0,1,481,476.47031989874176
2,0,1,484,479.64938680336803
2,0,1,485,480.79450152146569
2,0,1,486,481.84741110140612
2,0,1,491,486.80687205433054
2,0,1,496,491.91251411273817
2,0,1,497.5,492.9893833777956
